idOrder,Date,idWarehouse,Channel,Category,idBuyer,Product,Quantity,Revenue,RawMaterial,Handling,Logistic,idSales
71,2020-02-22 16:45:02,5,Export,Tokopedia,12,Gurame Frozen,3.26,189080,140022.7,255.93,11694.98,14
72,2020-02-22 19:47:13,10,Export,Tokopedia,25,Dori,100,3300000,2996910.1,11272.48,348923.61,9
73,2020-02-22 20:27:01,12,Export,Horeca,78,Cumi Ring,10,550000,488945.25,833.15,18868.33,12
74,2020-02-23 5:02:38,10,Export,Walk-in-Customer,40,Salmon,19.22,4324500,3970124.84,699.43,32340.1,3
75,2020-02-23 15:01:51,5,Domestic,Tokopedia,16,Salmon,24,5400000,5440565.52,152463.07,127016.98,9
76,2020-02-24 10:38:53,18,Export,Walk-in-Customer,83,Dori NBL Size 4,20,880000,686574.72,30342.46,62255.73,2
77,2020-02-27 6:21:13,12,Export,Tokopedia,78,Salmon,103.8,17646000,17357828.94,495197.08,1263899.95,9
78,2020-02-27 14:45:37,19,Export,Tokopedia,3,Mahi-Mahi,16.51,908050,703761.9,532.56,4945.09,9
79,2020-02-27 16:40:35,9,Export,Tokopedia,54,Tuna Loin,19.92,1792800,1980000,806.82,5576.11,15
80,2020-02-27 18:33:55,14,Domestic,Tokopedia,96,Dori NBL,15,615000,569898.65,99.47,4599.18,15
81,2020-02-28 0:09:55,17,Export,Walk-in-Customer,27,Salmon,11.14,2651320,2301102.54,1735.64,15373.82,2
82,2020-03-01 2:52:10,11,Export,Horeca,60,Salmon,50.67,11400750,10392886.89,9540.38,342848.88,12
83,2020-03-02 4:01:09,2,Domestic,Walk-in-Customer,4,Salmon,14.97,3368250,3092235.64,11505.62,356139.99,14
84,2020-03-02 5:00:44,18,Domestic,Horeca,50,Salmon,10.1,2393700,2104898.97,1403.88,13035.69,9
85,2020-03-03 4:23:34,10,Domestic,Walk-in-Customer,100,Salmon,10.75,2397250,2240362.76,172.04,2391.4,12
86,2020-03-03 20:56:56,2,Export,Walk-in-Customer,9,Dori,150,5250000,4679651.16,25443.81,60346.53,9
87,2020-03-05 9:03:42,17,Export,Horeca,31,Dori NBL,10,430000,375000,49.67,2275.31,13
88,2020-03-06 3:10:44,2,Export,Tokopedia,35,Salmon Tasman,4.28,749000,939383.46,1990.56,30992.71,1
89,2020-03-06 15:39:19,2,Domestic,Horeca,68,Dori NBL Size 4,19,817000,768776.46,1840.52,71784.07,9
90,2020-03-06 18:09:27,7,Export,Horeca,43,Salmon Atlantik Whole,39.88,6580200,7629140.58,23308.78,312172.33,12
91,2020-03-07 15:26:52,7,Export,Walk-in-Customer,90,Tuna Saku,100,9800000,8636363.64,4239.24,43075.68,12
92,2020-03-07 18:53:46,18,Export,Walk-in-Customer,81,Dori,500,15750000,14984550.5,9237.2,85771.88,9
93,2020-03-07 23:38:26,19,Domestic,Walk-in-Customer,30,Salmon,29.77,6698250,6106103.07,5605.23,201433.02,4
94,2020-03-11 3:49:07,18,Export,Horeca,5,Salmon,14.5,3262500,3442944.72,68349.66,143181.14,16
95,2020-03-11 5:32:50,8,Export,Horeca,21,Salmon Tasman,20.98,4825400,4555855.51,17092.82,228922.58,16
96,2020-03-12 14:25:08,17,Domestic,Tokopedia,15,Salmon Portion,5,1225000,1104670.51,2066.43,23443.74,1
97,2020-03-12 15:10:24,7,Export,Tokopedia,7,Salmon,20.2,4646000,4209797.94,10443.86,25875.12,6
98,2020-03-13 2:42:54,3,Domestic,Tokopedia,93,Dori BL Size 4,1,52000,35813.29,1510.45,3363.39,3
99,2020-03-14 11:08:56,19,Export,Tokopedia,86,Gurame Frozen,20.36,1160520,874497.57,2614.39,101966.77,1
100,2020-03-15 4:41:32,4,Export,Tokopedia,90,Dori BL Size 3,50,1775000,1515447.4,1360.47,72864.15,9
101,2020-03-15 9:36:08,19,Domestic,Horeca,31,Salmon Whole Frozen,26.25,4698750,4696940.72,2204.83,15081.69,9
102,2020-03-16 8:09:45,9,Domestic,Walk-in-Customer,96,Udang Vannamei Size L,10,990000,747213.17,1577.34,42449.7,9
103,2020-03-17 0:06:12,18,Export,Walk-in-Customer,79,cumi Tube Size 5-6,10,550000,555000,686.75,12580.11,16
104,2020-03-17 1:32:52,5,Domestic,Horeca,10,Salmon Portion Non Belly,20.54,4980950,4275562.05,21856.54,160396,2
105,2020-03-17 8:55:13,3,Domestic,Tokopedia,85,Tuna Saku,100,9800000,8636363.64,3909.35,60329.39,12
106,2020-03-18 2:31:52,18,Domestic,Horeca,52,Salmon,11.32,2547000,2338283.73,1667.35,14768.92,11
107,2020-03-18 6:49:37,18,Domestic,Walk-in-Customer,77,Salmon,41.5,9337500,8572329.92,6112.62,54144,14
108,2020-03-18 7:30:20,10,Domestic,Tokopedia,93,Cumi Tube,30,1800000,1665000,360.33,2764.34,11
109,2020-03-18 19:59:45,2,Domestic,Tokopedia,84,Tuna Saku,300,29400000,25909090.91,12717.71,129227.03,2
110,2020-03-19 4:03:48,1,Export,Shopee,16,Salmon,10.64,2372720,2217438.12,2750.31,14873.7,9
111,2020-03-19 19:19:12,12,Domestic,Shopee,23,Udang Vannamei Size L,22,2002000,2036882.46,3377.14,38313.76,11
112,2020-03-20 21:01:53,12,Domestic,Walk-in-Customer,69,Salmon Whole Headless,17.94,3229200,3007541.14,7274.67,283727.19,2
113,2020-03-20 22:18:09,9,Export,Horeca,67,Salmon Atlantik Whole,13.18,2306500,2168042.56,10120.98,74273.66,11
114,2020-03-22 10:25:07,14,Domestic,Walk-in-Customer,8,Dori NBL,10,430000,355000,49.67,2275.31,14
115,2020-03-25 8:19:49,16,Domestic,Shopee,50,Dori BL Size 4,30,1350000,1095454.55,3084.72,65515.09,3
116,2020-03-27 0:11:10,14,Domestic,Horeca,28,Dori BL Size 4,10,380000,296718.2,431.65,10979.08,9
117,2020-03-27 11:11:20,8,Export,Walk-in-Customer,92,Dori NBL Size 4,40,1680000,1433049.13,1908.35,48539.09,1
118,2020-03-27 11:52:26,4,Export,Tokopedia,74,Claw Meat,50,9000000,7966500,13633.39,308754.49,16
119,2020-03-28 9:46:29,5,Export,Shopee,30,Udang PND,10,970000,796649.6,33445.66,68622.79,3
120,2020-03-29 15:53:21,5,Export,Horeca,77,Salmon Atlantik Whole,8.63,1492990,1419590.84,40968.42,1713324.88,9
121,2020-03-30 6:58:31,15,Export,Shopee,92,Dori,130,4550000,4134000,323.01,23950.88,11
122,2020-03-30 7:57:10,10,Domestic,Shopee,38,Salmon,235.98,53095500,48744540.09,1171.12,359263.9,9
123,2020-03-30 18:08:01,16,Domestic,Tokopedia,86,Udang Vannamei Size L,2,180000,149442.63,286.79,7718.13,4
124,2020-03-31 11:27:51,14,Export,Shopee,35,Dori NBL 3 Glazing 20%,250,11250000,10000000,7364.6,65233.73,9
125,2020-03-31 12:40:58,14,Domestic,Tokopedia,25,Salmon,12.2,2745000,2625245.35,58823.57,72356.5,1
126,2020-04-02 22:20:16,2,Domestic,Tokopedia,75,Salmon,11.97,2693250,2604113.86,75580.27,192904.83,9
127,2020-04-03 14:32:11,14,Export,Tokopedia,88,Salmon Whole Frozen,56.93,9962750,8691438.65,6521.93,57769.54,12
128,2020-04-05 1:50:25,6,Domestic,Shopee,65,Cumi Tube,100,5850000,5550000,2632.7,18195.12,16
129,2020-04-05 13:06:27,16,Domestic,Horeca,7,Salmon Atlantik Whole,22.2,3885000,3690243.75,6189.88,166582.9,9
130,2020-04-06 13:43:03,14,Export,Tokopedia,15,Salmon Tasman,19.75,4542500,4314788.82,5159.93,131243.33,16
131,2020-04-07 8:00:56,19,Export,Walk-in-Customer,15,Udang Pancet 21/25,23,4324000,4314292.18,19279.97,111055,7
132,2020-04-08 3:46:32,16,Domestic,Shopee,6,Salmon Atlantik Whole,25.61,4532970,4212713.95,10211.77,398280.33,15
133,2020-04-08 15:51:43,5,Export,Tokopedia,90,Udang Pancet 21/25,30,5640000,5379841.5,8543.59,193486.15,9
134,2020-04-10 23:24:04,13,Domestic,Tokopedia,6,Salmon,4,948000,820437.09,6613.72,21311.07,5
135,2020-04-12 0:44:16,12,Domestic,Walk-in-Customer,62,Salmon Tasman,30.1,6923000,6559058.72,238705.47,489768.65,15
136,2020-04-12 3:48:19,12,Domestic,Shopee,46,Salmon,13.7,3246900,2855159.99,233.02,3238.98,9
137,2020-04-12 8:30:53,16,Export,Walk-in-Customer,43,Cumi Ring,10,570000,483867.8,908.17,24440.73,12
138,2020-04-14 8:37:10,16,Export,Shopee,43,Salmon Atlantik Whole,101.86,18334800,16608892.9,76900.81,360422.61,1
139,2020-04-15 6:38:01,12,Domestic,Horeca,58,Salmon,10.02,2374740,2088226.5,170.43,2368.95,9
140,2020-04-18 9:48:44,16,Export,Tokopedia,6,Dori BL Size 4,30,1020000,968231.73,2297.83,89620.26,3
141,2020-04-18 13:05:14,5,Domestic,Tokopedia,15,Salmon Whole Frozen,25.94,4383860,4306040,18733.81,34868.68,1
142,2020-04-19 22:56:45,3,Domestic,Walk-in-Customer,3,Salmon Atlantik Whole,26.12,4623240,4259024.96,19391.04,90882.92,9
143,2020-04-20 14:27:00,15,Export,Tokopedia,87,Salmon,30,7350000,6985500,156175.73,280296.39,9
144,2020-04-20 21:38:42,9,Export,Horeca,37,Salmon,15.27,3435750,3154204.29,75.78,23247.56,9
145,2020-04-21 8:42:00,15,Domestic,Tokopedia,15,Salmon,20.32,4572000,4197343.23,100.84,30935.85,9
146,2020-04-23 8:04:57,14,Domestic,Horeca,63,Salmon,40.08,9018000,8220779.68,7546.45,271193.67,9
147,2020-04-25 6:00:37,7,Domestic,Shopee,70,Salmon Atlantik Whole,24.53,4341810,3954901.23,149705.88,307161.98,9
148,2020-04-25 9:04:58,11,Export,Walk-in-Customer,81,Dori,50,1775000,1498455.05,6063.23,187678.61,3
149,2020-04-25 9:37:12,6,Export,Tokopedia,42,Salmon Portion,2,510000,436920.14,2139.07,10025.5,9
150,2020-04-25 12:06:10,7,Export,Walk-in-Customer,27,Cumi Ring,150,8625000,8334178.78,36175.44,169548.89,9
151,2020-04-26 0:16:34,11,Domestic,Horeca,82,Tuna Loin,10.05,884400,798547.98,1491.88,16925.42,12
152,2020-04-26 1:43:50,6,Domestic,Tokopedia,63,Salmon Whole Headless,88.7,15433800,15087160.4,64733.28,303395.21,9
153,2020-04-26 4:03:20,5,Domestic,Tokopedia,59,Salmon,80.89,18200250,16708813.66,2943.65,136107.73,9
154,2020-04-26 15:49:59,7,Domestic,Walk-in-Customer,79,Salmon,10.54,2350420,2196597.54,5283.57,13090.27,9
155,2020-04-26 16:43:30,8,Domestic,Tokopedia,95,Lobster 300up,4.46,1003500,875625.98,36923.36,29101.6,10
156,2020-04-27 2:20:46,17,Domestic,Tokopedia,85,Gurame Frozen,5.17,294690,280752.94,446.4,10109.65,9
157,2020-04-28 15:42:57,14,Export,Horeca,80,Salmon,20.6,4635000,4255180.63,15832.71,490079.07,15
158,2020-04-29 6:06:11,13,Domestic,Tokopedia,41,Dori BL 4 Glazing 45%,200,7200000,6000000,4713.35,41749.59,9
159,2020-04-30 2:59:32,11,Domestic,Horeca,60,Cumi Tube,20,1220000,1020000,244.22,1873.61,5
160,2020-04-30 17:22:48,12,Domestic,Shopee,25,Salmon,15.5,3487500,3201713.58,76.92,23597.72,9
161,2020-05-01 8:13:45,16,Export,Horeca,84,Salmon Atlantik Whole,25.55,4215750,4983215.49,122455.27,272677.27,11
162,2020-05-01 8:51:48,6,Domestic,Horeca,26,Dori BL Size 4,40,1360000,1290975.64,362.91,63254.9,3
163,2020-05-01 13:51:30,17,Export,Walk-in-Customer,84,Cumi Tube,10,610000,510000,122.11,936.8,16
164,2020-05-02 23:00:30,13,Export,Horeca,46,Salmon Tasman,20.05,4611500,4353903.86,16335.14,218774.91,7
165,2020-05-03 13:15:23,8,Export,Shopee,78,Salmon,49.66,12166700,11429030.04,703579.13,316544.95,1
166,2020-05-03 13:18:16,12,Domestic,Tokopedia,53,Salmon,10.25,2306250,2117262.21,373.01,17246.93,10
167,2020-05-03 21:49:26,7,Export,Shopee,88,Dori NBL,500,18000000,18996621.62,397.02,121794.69,16
168,2020-05-07 17:14:31,6,Domestic,Tokopedia,98,Dori NBL Size 3,80,3360000,3543785.87,14092.69,66050.35,9
169,2020-05-08 15:24:30,8,Export,Tokopedia,3,Salmon,10.16,2286000,2098671.61,369.73,17095.49,3
170,2020-05-08 18:10:47,10,Domestic,Walk-in-Customer,51,Lobster 100up,2,530000,480000,602.04,15312.93,14
171,2020-05-09 15:11:54,13,Export,Tokopedia,7,Salmon,10.46,2353500,2160640.26,380.65,17600.28,1
172,2020-05-11 11:16:30,18,Export,Shopee,48,Dori BL 4 Glazingan 40%,300,10800000,9450000,1746.76,80766.12,12
173,2020-05-13 8:14:24,11,Export,Horeca,5,Salmon Kirimi,10,2350000,1966474.46,9856.5,46195.93,9
174,2020-05-13 15:10:01,10,Domestic,Walk-in-Customer,82,Salmon Atlantik Whole,27,4779000,4488134.29,3662.92,196179.03,15
175,2020-05-13 23:25:41,12,Export,Tokopedia,75,Tongkol,4,128000,63390.48,98.11,5254.43,14
176,2020-05-14 15:45:54,16,Export,Horeca,90,Rajungan size 16,6,312000,180000,13000,50000,1
177,2020-05-15 3:18:58,4,Export,Horeca,13,Salmon Tasman,4,960000,896019.65,2193.58,46588.51,9
178,2020-05-15 13:15:24,10,Domestic,Tokopedia,52,Dori NBL,100,3850000,3799324.32,13151.23,407077.55,1
179,2020-05-15 18:01:05,4,Domestic,Horeca,42,Salmon Headless,87.22,15176280,14827400,334.74,102688.35,9
180,2020-05-16 3:35:01,17,Export,Tokopedia,75,Dori NBL,40,1680000,1519729.73,5738.72,177633.84,11
181,2020-05-16 17:52:24,11,Domestic,Horeca,67,Dori BL Size 4,10,380000,322743.91,1346.06,18027.64,9
182,2020-05-17 7:36:40,16,Domestic,Horeca,92,Dori NBL 4 Glazing 30%,20,900000,744166.67,19.85,6089.73,9
183,2020-05-17 13:45:09,8,Export,Walk-in-Customer,91,Salmon Whole Frozen,17.98,3146500,2744986.25,508.9,23530.61,4
184,2020-05-17 17:11:54,19,Domestic,Horeca,90,Dori BL Size 4,20,880000,585960.86,1098.79,20128.18,1
185,2020-05-19 2:50:49,14,Domestic,Tokopedia,56,Salmon Whole Frozen,113.02,19552460,17254635.45,3162.35,146220.02,16
186,2020-05-19 10:44:15,17,Domestic,Tokopedia,30,Salmon,15.65,3521250,3385481.13,146921.38,137041.65,12
187,2020-05-20 6:55:46,14,Domestic,Shopee,79,Dori,600,18900000,17981460.59,21907.67,118477.12,12
188,2020-05-21 7:21:37,15,Export,Tokopedia,90,Udang Kupas,10,980000,1135047.87,70.33,977.61,10
189,2020-05-22 1:45:41,16,Export,Walk-in-Customer,16,Salmon Portion,2.31,582120,559619.23,12070.96,219660.37,10
190,2020-05-22 7:16:28,15,Export,Walk-in-Customer,69,Cumi Ring,10,550000,488945.25,2306.84,10811.81,1
191,2020-05-22 12:46:14,13,Domestic,Walk-in-Customer,30,Kepiting Bakau 200up,6.09,344085,243600,4251.66,5321.53,9
192,2020-05-23 23:57:36,3,Export,Horeca,20,Dori BL Size 4,5,190000,161371.95,50.7,8837.08,9
193,2020-05-25 3:52:01,15,Domestic,Tokopedia,80,Salmon,15.45,3476250,3342216.19,98148.1,81767.18,14
194,2020-05-25 14:13:36,10,Domestic,Shopee,52,Dori NBL Size 4,40,1600000,1537552.91,2549.24,68605.57,10
195,2020-05-26 3:54:09,1,Domestic,Tokopedia,85,Salmon,15.7,3501100,3271971.66,7870.21,19498.79,9
196,2020-05-26 7:49:07,9,Export,Walk-in-Customer,98,Dori BL Size 3,60,2130000,1870614.68,3226.57,73071.9,14
197,2020-05-28 12:11:16,3,Export,Walk-in-Customer,32,Salmon Portion,14,3430000,2746155.59,9001.95,253474.22,16
198,2020-05-28 19:02:46,12,Export,Horeca,36,Salmon,30.12,6777000,6515699.14,119993.83,126329.51,4
199,2020-05-29 5:49:52,11,Export,Tokopedia,77,Lobster 400 up,5.15,1277200,1236000,4524.18,60591.85,7
200,2020-05-30 14:04:46,4,Export,Horeca,98,Salmon Kirimi,20,4700000,3807070.68,16648.63,222973.46,4
201,2020-05-31 19:50:34,8,Export,Tokopedia,96,Salmon Headless,88.36,15374640,15021200,10064.72,89150.68,1
202,2020-06-01 6:15:45,8,Domestic,Horeca,75,Tuna Loin,7.99,703120,634494.17,798.69,20314.76,2
203,2020-06-01 9:21:18,9,Domestic,Tokopedia,87,Udang PND,10,970000,875000,1469.38,33276.87,13
204,2020-06-02 5:41:58,12,Domestic,Walk-in-Customer,63,Salmon Tasman,7.94,1953240,1742688.01,71868.64,56644.15,15
205,2020-06-02 12:38:02,17,Export,Tokopedia,10,Dori NBL,15,675000,581538.46,29092.74,8630.51,9
206,2020-06-02 13:44:24,8,Domestic,Horeca,16,Dori,400,13200000,11987640.4,291.15,89316.11,5
207,2020-06-03 4:22:44,12,Domestic,Horeca,75,Dori NBL,30,1350000,1163076.92,91790.49,96919.93,12
208,2020-06-04 0:44:43,6,Domestic,Horeca,2,Salmon,6.27,1485990,1306704.61,871.52,8092.45,9
209,2020-06-04 22:51:05,12,Export,Horeca,14,Salmon Atlantik Whole,30.06,4959900,4846487.19,7513.36,170154.6,12
210,2020-06-05 2:16:47,18,Domestic,Tokopedia,67,Salmon,19.48,4383000,3995528.65,3667.78,131807.7,9
211,2020-06-06 10:39:39,8,Export,Walk-in-Customer,85,Salmon Atlantik Whole,4.51,816310,510719.11,1377.02,15622.33,9
212,2020-06-08 20:17:37,12,Export,Walk-in-Customer,9,Salmon,10,2230000,2084058.38,1307.87,12144.21,9
213,2020-06-09 23:32:28,11,Export,Shopee,38,Cumi Ring,10,670000,497572.96,1509.36,58868.21,9
214,2020-06-11 7:18:14,3,Domestic,Walk-in-Customer,70,Salmon,150.67,33599410,31400507.69,19705.68,182976.8,9
215,2020-06-11 15:29:07,16,Domestic,Horeca,57,Tuna Loin,3.06,312120,242997.77,354.54,9017.87,5
216,2020-06-13 13:03:16,14,Export,Horeca,7,Salmon Whole Frozen,26.86,4431900,4100685.79,2901.26,25698.61,9
217,2020-06-15 3:53:56,14,Export,Walk-in-Customer,80,Lobster 300up,5,975000,981643.48,1055.79,18583.61,7
218,2020-06-15 19:03:57,3,Domestic,Horeca,64,Dori NBL 5 Glazing 40%,20,760000,700000,122.92,5683.54,12
219,2020-06-15 23:40:59,11,Export,Tokopedia,42,Belut Fillet Grade A/Bintang,5,470000,384930.93,275.65,2559.54,12
220,2020-06-17 15:20:56,16,Domestic,Horeca,86,Salmon,19.6,4410000,4048618.47,15064.13,466288.83,9
221,2020-06-17 16:27:36,8,Domestic,Horeca,84,Salmon Atlantik Whole,24.3,4301100,4039320.86,6852.84,184424.64,1
222,2020-06-17 23:01:16,12,Export,Walk-in-Customer,8,Salmon,14.96,3366000,3090170.01,74.24,22775.61,9
